user_id,age,platform,daily_usage_minutes,content_type,engagement_score,mental_fatigue_level,date
7,54,TikTok,326,Live,8.44,5,2023-01-01 06:00:00
8,34,TikTok,335,Reels,6.58,2,2023-01-01 07:00:00
10,26,TikTok,12,Live,1.62,4,2023-01-01 09:00:00
11,26,TikTok,187,Shorts,1.37,3,2023-01-01 10:00:00
12,39,TikTok,138,Posts,3.69,1,2023-01-01 11:00:00
14,55,TikTok,359,Reels,3.04,3,2023-01-01 13:00:00
24,36,TikTok,214,Shorts,6.04,1,2023-01-01 23:00:00
30,64,TikTok,318,Stories,4.65,3,2023-01-02 05:00:00
33,43,TikTok,54,Stories,6.15,1,2023-01-02 08:00:00
37,59,TikTok,261,Shorts,5.62,10,2023-01-02 12:00:00
41,36,TikTok,305,Live,8.89,3,2023-01-02 16:00:00
42,24,TikTok,326,Stories,4.4,9,2023-01-02 17:00:00
51,35,TikTok,253,Live,9.86,4,2023-01-03 02:00:00
56,23,TikTok,338,Shorts,8.78,1,2023-01-03 07:00:00
57,62,TikTok,205,Reels,7.44,5,2023-01-03 08:00:00
60,32,TikTok,136,Reels,1.79,6,2023-01-03 11:00:00
61,51,TikTok,118,Shorts,7.22,7,2023-01-03 12:00:00
63,19,TikTok,200,Posts,7.69,6,2023-01-03 14:00:00
66,57,TikTok,139,Shorts,8.69,4,2023-01-03 17:00:00
71,59,TikTok,61,Stories,7.6,8,2023-01-03 22:00:00
76,46,TikTok,31,Stories,5.06,7,2023-01-04 03:00:00
78,30,TikTok,110,Posts,3.53,3,2023-01-04 05:00:00
82,55,TikTok,208,Reels,4.48,9,2023-01-04 09:00:00
84,31,TikTok,71,Live,0.56,8,2023-01-04 11:00:00
85,60,TikTok,94,Stories,5.52,8,2023-01-04 12:00:00
86,33,TikTok,264,Posts,4.47,9,2023-01-04 13:00:00
93,44,TikTok,276,Stories,6.6,10,2023-01-04 20:00:00
97,40,TikTok,176,Reels,1.78,1,2023-01-05 00:00:00
108,50,TikTok,104,Shorts,1.79,3,2023-01-05 11:00:00
111,20,TikTok,325,Reels,6.11,7,2023-01-05 14:00:00
112,57,TikTok,90,Reels,3.66,10,2023-01-05 15:00:00
121,48,TikTok,67,Shorts,8.19,9,2023-01-06 00:00:00
124,39,TikTok,325,Live,1.31,7,2023-01-06 03:00:00
129,37,TikTok,189,Posts,8.19,8,2023-01-06 08:00:00
137,18,TikTok,50,Stories,2.24,5,2023-01-06 16:00:00
138,16,TikTok,51,Shorts,6.14,10,2023-01-06 17:00:00
140,41,TikTok,153,Reels,5.52,7,2023-01-06 19:00:00
143,42,TikTok,123,Live,1.47,9,2023-01-06 22:00:00
146,30,TikTok,107,Reels,2.99,10,2023-01-07 01:00:00
148,57,TikTok,146,Posts,6.3,3,2023-01-07 03:00:00
149,28,TikTok,41,Shorts,4.37,3,2023-01-07 04:00:00
150,47,TikTok,12,Reels,4.69,9,2023-01-07 05:00:00
154,19,TikTok,111,Shorts,7.15,6,2023-01-07 09:00:00
157,38,TikTok,317,Reels,7.1,2,2023-01-07 12:00:00
158,54,TikTok,87,Live,8.02,9,2023-01-07 13:00:00
162,44,TikTok,285,Live,9.11,3,2023-01-07 17:00:00
167,37,TikTok,162,Live,6.61,5,2023-01-07 22:00:00
172,21,TikTok,218,Posts,3.31,4,2023-01-08 03:00:00
175,59,TikTok,183,Posts,1.74,7,2023-01-08 06:00:00
177,35,TikTok,145,Reels,1.34,1,2023-01-08 08:00:00
178,45,TikTok,35,Shorts,5.16,5,2023-01-08 09:00:00
181,40,TikTok,91,Stories,2.47,9,2023-01-08 12:00:00
186,28,TikTok,288,Live,4.13,8,2023-01-08 17:00:00
200,47,TikTok,249,Shorts,0.89,2,2023-01-09 07:00:00
204,64,TikTok,254,Posts,9.03,1,2023-01-09 11:00:00
210,64,TikTok,60,Live,1.43,10,2023-01-09 17:00:00
214,64,TikTok,162,Reels,2.73,8,2023-01-09 21:00:00
217,43,TikTok,82,Live,7.46,3,2023-01-10 00:00:00
220,47,TikTok,277,Reels,2.05,7,2023-01-10 03:00:00
221,48,TikTok,256,Posts,9.35,6,2023-01-10 04:00:00
223,34,TikTok,308,Shorts,8.78,1,2023-01-10 06:00:00
226,41,TikTok,117,Shorts,5.23,4,2023-01-10 09:00:00
231,26,TikTok,351,Stories,8.25,8,2023-01-10 14:00:00
232,32,TikTok,231,Posts,8.23,9,2023-01-10 15:00:00
239,26,TikTok,52,Shorts,7.51,2,2023-01-10 22:00:00
247,18,TikTok,222,Shorts,0.67,1,2023-01-11 06:00:00
252,18,TikTok,244,Shorts,6.28,6,2023-01-11 11:00:00
261,33,TikTok,339,Reels,7.24,3,2023-01-11 20:00:00
269,45,TikTok,253,Live,4.8,7,2023-01-12 04:00:00
273,31,TikTok,51,Shorts,2.45,3,2023-01-12 08:00:00
276,64,TikTok,96,Reels,2.99,5,2023-01-12 11:00:00
285,56,TikTok,334,Shorts,7.37,8,2023-01-12 20:00:00
287,34,TikTok,284,Reels,2.75,10,2023-01-12 22:00:00
289,31,TikTok,121,Shorts,9.89,8,2023-01-13 00:00:00
306,40,TikTok,23,Posts,6.66,2,2023-01-13 17:00:00
315,51,TikTok,51,Posts,2.9,3,2023-01-14 02:00:00
318,48,TikTok,107,Posts,9.57,8,2023-01-14 05:00:00
323,23,TikTok,33,Stories,1.67,5,2023-01-14 10:00:00
327,48,TikTok,317,Stories,8.19,8,2023-01-14 14:00:00
328,63,TikTok,193,Shorts,5.89,10,2023-01-14 15:00:00
332,61,TikTok,40,Stories,4.91,8,2023-01-14 19:00:00
337,23,TikTok,163,Posts,9.46,7,2023-01-15 00:00:00
338,42,TikTok,333,Stories,3.75,10,2023-01-15 01:00:00
