UserID,Age,Gender,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
5,25,Male,22096,False,True,Manager,Urban,TikTok,136,6,2159,Gaming,19,3093,7,13,21,4,Morning,8,2,Boredom,Smartphone,iOS,08:00:00,10,0,At home,Mobile Data
7,56,Male,46201,False,False,Students,Rural,TikTok,247,5,3230,Vlogs,16,7207,9,22,20,63,Morning,8,2,Habit,Smartphone,Android,08:00:00,10,0,At school,Wi-Fi
12,41,Other,25105,False,False,Labor/Worker,Urban,TikTok,129,15,7191,Life Hacks,27,3535,9,26,48,35,Evening,6,4,Habit,Tablet,Android,14:00:00,8,2,At home,Wi-Fi
25,50,Male,82424,True,True,Waiting staff,Rural,TikTok,162,10,5800,Jokes/Memes,7,7694,3,29,15,31,Evening,6,4,Boredom,Smartphone,Android,14:00:00,8,2,At home,Mobile Data
26,29,Male,65603,True,False,Labor/Worker,Urban,TikTok,136,18,8813,Jokes/Memes,29,4830,1,14,46,48,Afternoon,5,5,Entertainment,Smartphone,Android,17:00:00,7,3,At school,Wi-Fi
29,42,Female,94603,True,True,Labor/Worker,Rural,TikTok,181,8,4513,Entertainment,7,9834,9,14,32,38,Evening,6,4,Boredom,Smartphone,MacOS,14:00:00,8,2,At work,Mobile Data
30,44,Male,57481,True,False,driver,Urban,TikTok,118,10,4760,Pranks,5,2160,5,16,10,91,Evening,6,4,Entertainment,Smartphone,Android,14:00:00,8,2,At home,Wi-Fi
35,64,Female,39675,False,True,Students,Rural,TikTok,284,5,4244,Entertainment,6,6486,9,27,17,13,Evening,6,4,Entertainment,Tablet,iOS,14:00:00,8,2,At school,Mobile Data
36,61,Other,93997,True,False,Students,Urban,TikTok,220,1,9581,Jokes/Memes,27,8112,2,9,21,37,Night,3,7,Procrastination,Smartphone,Android,21:00:00,5,5,At home,Wi-Fi
37,20,Male,37015,False,True,Labor/Worker,Rural,TikTok,127,17,6508,Entertainment,1,8771,8,5,48,47,Night,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At home,Mobile Data
42,56,Male,52972,True,False,Students,Urban,TikTok,26,5,6128,ASMR,3,3932,7,25,12,87,Evening,6,4,Habit,Smartphone,Android,14:00:00,8,2,At school,Mobile Data
43,35,Other,69733,True,True,Cashier,Rural,TikTok,292,2,3924,Life Hacks,23,5608,3,24,10,58,Morning,8,2,Entertainment,Tablet,MacOS,08:00:00,10,0,At home,Mobile Data
48,43,Male,60785,True,True,Students,Rural,TikTok,28,14,7881,Pranks,28,9862,9,25,11,39,Night,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At work,Mobile Data
